"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Palden Namgye (Palden Namgyal)","m","Sherpa","NEP","2000",""
"Phinzo Ii (Phinjo)","m","Sherpa","NEP","2000",""
"Takahashi","f","","JAP","2000",""
"Matsumoto","m","","JAP","2000",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","2000",""
"Pemba Gyalzen Ii","m","Sherpa","NEP","2000",""
"Rosenbaum","m","","AUS","2000",""
"Webster","m","","CAN","2000",""
"Dawa Nurbu I (Danuru)","m","Sherpa","NEP","2000",""
"Dorje I","m","Sherpa","NEP","2000",""
"Dorje Iii","m","Sherpa","NEP","2000",""
"Lhakpa Gelu I","m","Sherpa","NEP","2000",""
"Sabir","m","","PAK","2000",""
"James","m","","UK","2000",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","2000",""
"White","m","","UK","2000",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","2000",""
"Ogio","m","","JAP","2000",""
"Tenzing I (Tenzen, Tenzi)","m","Sherpa","NEP","2000",""
"Ang Mingma (Mingma)","m","Sherpa","NEP","2000",""
"Ang Pasang Iii","m","Sherpa","NEP","2000",""
"Ang Phurba Iv (Phurba)","m","Sherpa","NEP","2000",""
"Lakpa","f","","NEP","2000",""
"Dijmarescu","m","","USA","2000",""
"Gyalu Lama (Ang Gyalu Lama)","m","Sherpa","NEP","2000",""
"Kobayashi","m","","JAP","2000",""
"Konno","m","","JAP","2000",""
"Nawang Tenzing I","m","Sherpa","NEP","2000",""
"Pasang Kami Ii","m","Sherpa","NEP","2000",""
"Tanaka","m","","JAP","2000",""
"Yamashita","m","","JAP","2000",""
"Afanassiev","m","","RUS","2000",""
"Bokov","m","","UKR","2000",""
"Sedusov","m","","RUS","2000",""
"Zakharov","m","","RUS","2000",""
"Fahrner","m","","CH","2000",""
"Pemba Doma Thaktopa","f","","NEP","2000",""
"Nawang Dorje (Da Nawang Dorje)","m","Sherpa","NEP","2000",""
"Pasang Kitar (Pasang Kidar)","m","Sherpa","NEP","2000",""
"Yamamoto","m","","JAP","2000",""
"Dawa Chhiri Ii (Dawa Tsiri)","m","Sherpa","NEP","2000",""
"Dawa Temba I","m","Sherpa","NEP","2000",""
"Granlien","m","","DK","2000",""
"Norreslet","m","","DK","2000",""
"Lhakpa Tshering I","m","Sherpa","NEP","2000",""
"Yan","m","","CHN","2000",""
"Babu Chiri","m","Sherpa","NEP","2000",""
"Dawa I","m","Sherpa","NEP","2000",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2000",""
"Karchen Dawa","m","Sherpa","NEP","2000",""
"Lhakpa Tshering Ii (Lhakpa Chhiring)","m","Sherpa","NEP","2000",""
"Mingma Dorje Ii","m","Sherpa","NEP","2000",""
"Mingma Tenzing I","m","Sherpa","NEP","2000",""
"Nuru Wangchu","m","Sherpa","NEP","2000",""
"Smith","m","","CAN","2000",""
"Tenzing Dorje","m","Sherpa","NEP","2000",""
"Nima Dawa","m","Sherpa","NEP","2000",""
"Czerwińska","f","","POL","2000",""
"Pasang Tshering Iii (Ang Pasang)","m","Sherpa","NEP","2000",""
"Garra","m","","E","2000",""
"González","m","","E","2000",""
"Jara","m","","E","2000",""
"Brown","m","","USA","2000",""
"Hahn","m","","USA","2000",""
"Kami Tshering (Ang Chhiring)","m","Sherpa","NEP","2000",""
"Phu Tashi I","m","Sherpa","NEP","2000",""
"Tashi Tshering I","m","Sherpa","NEP","2000",""
"Chewang Dorje I","m","Sherpa","NEP","2000",""
"Toossi","m","","USA","2000",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","2000",""
"Kami Rita I (Topke)","m","Sherpa","NEP","2000",""
"Mingma Chhiri I (Mingma Chhiring)","m","Sherpa","NEP","2000",""
"Giorgio","m","","USA","2000",""
"Lock","m","","AUS","2000",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","2000",""
"Boskoff (B Feld)","f","","USA","2000",""
"Nawang Wangchu (Nawang Ongchu)","m","Sherpa","NEP","2000",""
"Apa (Appa)","m","Sherpa","NEP","2000",""
"Arita","m","Sherpa","NEP","2000",""
"Dawa Jangbu I (Da Jangbu I)","m","Sherpa","NEP","2000",""
"Kami Rita Ii","m","Sherpa","NEP","2000",""
"Leonard (B Richardson)","f","","USA","2000",""
"Lhakpa Tshering Iii (Lhakpa Chhiring)","m","Sherpa","NEP","2000",""
"Nima (Ang Nima)","m","Sherpa","NEP","2000",""
"Pasang Tharke I","m","Sherpa","NEP","2000",""
"Pemba Chhuti (Pemba Chhoti)","m","Sherpa","NEP","2000",""
"Pemba Norbu (Pemba Nuru) Iii","m","Sherpa","NEP","2000",""
"Pemba Tshering Ii (Pemba Chhiring)","m","Sherpa","NEP","2000",""
"Slakey","m","","USA","2000",""
"Williams","m","","USA","2000",""
"Moro","m","","ITA","2000",""
"Urubko","m","","KAZ","2000",""
"Allen","m","","UK","2000",""
"Cowen","m","","USA","2000",""
"Down","m","","CAN","2000",""
"Jaćimović","m","","SER","2000",""
"Kenny","m","","USA","2000",""
"Mingma Nuru Ii","m","Sherpa","NEP","2000",""
"Stone","m","","USA","2000",""
"González","m","","E","2000",""
"Lhakpa Gyalzen Ii","m","Sherpa","NEP","2000",""
"Volodin","m","","RUS","2000",""
"Kim","m","","SK","2000",""
"Kim","m","","SK","2000",""
"Cho","m","","SK","2000",""
"Hong","m","","SK","2000",""
"Kim","m","","SK","2000",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2000",""
"Karničar","m","","SLO","2000",""
"Oderlap","m","","SLO","2000",""
"Pasang Tenzing I","m","Sherpa","NEP","2000",""
"Flis","m","","SLO","2000",""
"Golob","m","","SLO","2000",""
"Lačen","m","","SLO","2000",""
"Stoltz","m","","DK","2000","Fall"
"Yan","m","","CHN","2000","Exposure"
"Dawa Nuru Iii (Danuru)","m","Sherpa","NEP","2001",""
"Kami Tshering (Ang Chhiring)","m","Sherpa","NEP","2001",""
"La France","m","","USA","2001",""
"Lhakpa Nuru Ii","m","Sherpa","NEP","2001",""
"Mingma Ongel I (Sonam Gyalzen)","m","Sherpa","NEP","2001",""
"Otis","m","","USA","2001",""
"Chardiny","m","","F","2001",""
"Chhiri (Ang Chiring)","m","Sherpa","NEP","2001",""
"Collet (B Apraxine)","f","","F","2001",""
"Iman Gurung","m","","NEP","2001",""
"Muller","m","","F","2001",""
"Pema Chhiring (Pema Chhiri)","m","Sherpa","NEP","2001",""
"Tshering Dorje Ii (Chhiring Dorje)","m","Sherpa","NEP","2001",""
"Roche","m","","F","2001",""
"Roche (B Bernier)","f","","F","2001",""
"Roux","m","","CH","2001",""
"Trommsdorff","m","","F","2001",""
"Foigt","m","","RUS","2001",""
"Kozhemyako","m","","RUS","2001",""
"Uteshev","m","","RUS","2001",""
"Tashi I","m","Sherpa","NEP","2001",""
"Tortladze","m","","GEO","2001",""
"Barrios","m","","COL","2001",""
"González-Rubio","m","","COL","2001",""
"Fritsche","m","","A","2001",""
"Gatt","m","","A","2001",""
"Perlia","m","","LUX","2001",""
"Bale","m","","UK","2001",""
"Carroll","m","","UK","2001",""
"Hunter","m","","UK","2001",""
"Mcdermott","m","","UK","2001",""
"Stingl","m","","GER","2001",""
"Lagunilla","m","","E","2001",""
"Ramos","m","","E","2001",""
"Rodríguez","m","","E","2001",""
"Akinina","f","","RUS","2001",""
"Allan","m","","UK","2001",""
"Álvarez","m","","E","2001",""
"Anciaux","m","","F","2001",""
"Ang Pasang Iv","m","Sherpa","NEP","2001",""
"Benegas","m","","USA","2001",""
"Binsack","f","","CH","2001",""
"Bösch","m","","CH","2001",""
"Chand Dogra","m","","IND","2001",""
"Changba Nurbu (Chongba Nuru)","m","Sherpa","NEP","2001",""
"Chessell","m","","AUS","2001",""
"Cuq","m","","CHL","2001",""
"Cuq","f","","CHL","2001",""
"Dawa Ii","m","Sherpa","NEP","2001",""
"Dawa Temba Ii (Da Temba)","m","Sherpa","NEP","2001",""
"Delgado","m","","VEN","2001",""
"Dhasila","m","","IND","2001",""
"Dijmarescu","m","","USA","2001",""
"Eleuchev","m","","RUS","2001",""
"Fasching","m","","A","2001",""
"Fındık","m","","TUR","2001",""
"Fura Dorje (Phura Dorje)","m","Sherpa","NEP","2001",""
"Gatt","m","","A","2001",""
"Giaccho Negi","m","","IND","2001",""
"Giorgio","m","","USA","2001",""
"Goñi","m","","E","2001",""
"Ishikawa","m","","JAP","2001",""
"Kami I (Kame)","m","Sherpa","NEP","2001",""
"Karsang Namgyal/Namgel","m","Sherpa","NEP","2001",""
"Karsang Tendup","m","","CHN","2001",""
"Krylov","m","","RUS","2001",""
"Lakpa","f","","NEP","2001",""
"Lapkass","m","","USA","2001",""
"Lhakpa Nuru Iii","m","Sherpa","NEP","2001",""
"Lhakpa Temba","m","Sherpa","NEP","2001",""
"Lhakpa Thundu I","m","Sherpa","NEP","2001",""
"Lhakpa Tshering Ii (Lhakpa Chhiring)","m","Sherpa","NEP","2001",""
"Lobsang Temba","m","Sherpa","NEP","2001",""
"Mackenzie","m","","UK","2001",""
"Maclaren","m","","CAN","2001",""
"Merelli","m","","ITA","2001",""
"Miller","f","","USA","2001",""
"Mingma Nuru Iii","m","Sherpa","NEP","2001",""
"Mingote","m","","E","2001",""
"Mondinelli","m","","ITA","2001",""
"Nawang Wangchu (Nawang Ongchu)","m","Sherpa","NEP","2001",""
"Negi","m","","IND","2001",""
"Nga Temba Ii","m","Sherpa","NEP","2001",""
"Nima Dorje Ii (Boka Lama)","m","Sherpa","NEP","2001",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","2001",""
"Nima Tamang I","m","","NEP","2001",""
"Norreslet","m","","DK","2001",""
"O'bryan","m","","USA","2001",""
"Oiarzabal","m","","E","2001",""
"Ongchhu","m","Sherpa","NEP","2001",""
"Pasaban","f","","E","2001",""
"Pasang Norbu Ii","m","Sherpa","NEP","2001",""
"Pasang Tendi I","m","Sherpa","NEP","2001",""
"Pasang Tshering Iv","m","Sherpa","NEP","2001",""
"Pemba Dorje I","m","Sherpa","NEP","2001",""
"Pemba Gyalzen I (Pemba Gyalje)","m","Sherpa","NEP","2001",""
"Pemba Rinji I (Pemba Rinzi)","m","Sherpa","NEP","2001",""
"Pemba Rinji Ii","m","Sherpa","NEP","2001",""
"Phanden (Phenden)","m","Sherpa","NEP","2001",""
"Phinzo Norbu (Phinzo)","m","Sherpa","NEP","2001",""
"Phurba Tashi","m","Sherpa","NEP","2001",""
"Porte","m","","F","2001",""
"Prakash","m","","IND","2001",""
"Prieto","f","","CHL","2001",""
"Reketa","m","","E","2001",""
"Reuter","m","","CHL","2001",""
"Sampson","m","","CAN","2001",""
"Shekhawat","m","","IND","2001",""
"Siffredi","m","","F","2001",""
"Soria","m","","E","2001",""
"Soto","f","","CHL","2001",""
"Sparks","m","","USA","2001",""
"Streif","m","","GER","2001",""
"Temba Tshiri (Temba Chhiri)","m","Sherpa","NEP","2001",""
"Thilen","m","Sherpa","NEP","2001",""
"Thukten Dorje","m","Sherpa","NEP","2001",""
"Til Bikram Budhathoki","m","","NEP","2001",""
"Tobia","m","","VEN","2001",""
"Tshering Palden (Pande) Bhote","m","","NEP","2001",""
"Vallejo","m","","ECU","2001",""
"Vallejo","m","","E","2001",""
"Viñals","m","","GUA","2001",""
"Warner","m","","USA","2001",""
"Arbelaez","m","","COL","2001",""
"Arita","m","Sherpa","NEP","2001",""
"Bodh","m","","IND","2001",""
"Dawa Nurbu I (Danuru)","m","Sherpa","NEP","2001",""
"Dawa Nuru I (Da Nuru)","m","Sherpa","NEP","2001",""
"Dendi I","m","Sherpa","NEP","2001",""
"Dorje Iii","m","Sherpa","NEP","2001",""
"Dorje Iv","m","Sherpa","NEP","2001",""
"Edwards","m","","USA","2001",""
"Feagin","f","","USA","2001",""
"Henostroza","m","","PER","2001",""
"Kelly","m","","CAN","2001",""
"Kili (Kile)","m","Sherpa","NEP","2001",""
"Lama Jangbu","m","Sherpa","NEP","2001",""
"Langlois","m","","CAN","2001",""
"Lhakpa Gelu I","m","Sherpa","NEP","2001",""
"Lhakpa Rita Ii","m","Sherpa","NEP","2001",""
"Mingma Thinduk I","m","Sherpa","NEP","2001",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","2001",""
"Mingma Tshering Ii (Mingma Chhiri)","m","Sherpa","NEP","2001",""
"Nawang Tenzing I","m","Sherpa","NEP","2001",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","2001",""
"Ochoa De Olza","m","","E","2001",""
"Pasang Gelu I","m","Sherpa","NEP","2001",""
"Pasang Kitar (Pasang Kidar)","m","Sherpa","NEP","2001",""
"Pasang Rinji I","m","Sherpa","NEP","2001",""
"Rodney","m","","CAN","2001",""
"Ruiz","m","","COL","2001",""
"Tenzing I (Tenzen, Tenzi)","m","Sherpa","NEP","2001",""
"Tshering Dorje I","m","Sherpa","NEP","2001",""
"Verdeguer","m","","E","2001",""
"Alexander","m","","USA","2001",""
"Ang Kami Iii","m","Sherpa","NEP","2001",""
"Ang Pasang Iii","m","Sherpa","NEP","2001",""
"Ang Sonam (Pasang Sona)","m","Sherpa","NEP","2001",""
"Benítez","m","","USA","2001",""
"Brown","m","","USA","2001",""
"Bull","m","","USA","2001",""
"Bull","m","","USA","2001",""
"Chuldin Nuru (Chuldim)","m","Sherpa","NEP","2001",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","2001",""
"Evans","m","","USA","2001",""
"Johnck","m","","USA","2001",""
"Laursen","m","","AUS","2001",""
"Lhakpa Tshering Iii (Lhakpa Chhiring)","m","Sherpa","NEP","2001",""
"Lhakpa Tshering Iv (Lhakpa Tshiri)","m","Sherpa","NEP","2001",""
"Mace","m","","USA","2001",""
"Morris","m","","USA","2001",""
"Nima Nuru Ii (Ngima Nuru)","m","Sherpa","NEP","2001",""
"O'donnell","m","","USA","2001",""
"Pasang Yila","m","Sherpa","NEP","2001",""
"Pemba Chhoti I","m","Sherpa","NEP","2001",""
"Phu Tashi I","m","Sherpa","NEP","2001",""
"Phurba Ridar Bhote","m","","NEP","2001",""
"Waechter","m","","USA","2001",""
"Weihenmayer","m","","USA","2001",""
"Wilson","m","","USA","2001",""
"Bochkov","m","","RUS","2001",""
"Popov","m","","RUS","2001",""
"Babu Chiri","m","Sherpa","NEP","2001","Fall"
"Ganner","m","","A","2001","Fall"
"Auricht","m","","AUS","2001","Altitude sickness"
"Nikiforov","m","","RUS","2001","Altitude sickness"
"Gárdos","m","","HUN","2001","Fall"
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2002",""
"Ang Pasang V","m","Sherpa","NEP","2002",""
"Ang Phurba Iv (Phurba)","m","Sherpa","NEP","2002",""
"Ang Sonam (Pasang Sona)","m","Sherpa","NEP","2002",""
"Apa (Appa)","m","Sherpa","NEP","2002",""
"Arvis","m","","F","2002",""
"Benegas","m","","USA","2002",""
"Bird","m","","USA","2002",""
"Bolotov","m","","RUS","2002",""
"Borisov","m","","RUS","2002",""
"Bumann","m","","CH","2002",""
"Chassot","m","","CH","2002",""
"Chewang Dorje I","m","Sherpa","NEP","2002",""
"Crouse","m","","USA","2002",""
"Dawa Nuru Ii (Dawa Norbu)","m","Sherpa","NEP","2002",""
"Dawa Nuru Iii (Danuru)","m","Sherpa","NEP","2002",""
"Dibona","m","","ITA","2002",""
"Dorje Lama","m","Sherpa","NEP","2002",""
"Ershler","m","","USA","2002",""
"Ershler","f","","USA","2002",""
"Fowler","m","","USA","2002",""
"Geier","m","","AUS","2002",""
"Gurmin Dorje (Girmi Dorje)","m","Sherpa","NEP","2002",""
"Hiddleston","m","","NZ","2002",""
"Kami I (Kame)","m","Sherpa","NEP","2002",""
"Khalatian","m","","ARM","2002",""
"Kobler","m","","CH","2002",""
"Lama Jangbu","m","Sherpa","NEP","2002",""
"Lambert","m","","CH","2002",""
"Lee","m","","SK","2002",""
"Lhakpa Chhiri I (Sonam)","m","Sherpa","NEP","2002",""
"Lhakpa Dorje Iv","m","Sherpa","NEP","2002",""
"Lhakpa Gelu I","m","Sherpa","NEP","2002",""
"Lhakpa Tshering Iii (Lhakpa Chhiring)","m","Sherpa","NEP","2002",""
"Mérat","f","","CH","2002",""
"Miller","f","","USA","2002",""
"Mingma Chhiri Ii","m","Sherpa","NEP","2002",""
"Mingma Ongel I (Sonam Gyalzen)","m","Sherpa","NEP","2002",""
"Mingma Tshering Ii (Mingma Chhiri)","m","Sherpa","NEP","2002",""
"Mingma Tshering Iii (Mingma Chhiring)","m","Sherpa","NEP","2002",""
"Morris","m","","USA","2002",""
"Mothersdale","m","","UK","2002",""
"Muraguchi","m","","JAP","2002",""
"Nang Chombi (Nang Chhemi)","m","Sherpa","NEP","2002",""
"Nawang Thile (Pemba Dorje)","m","Sherpa","NEP","2002",""
"Ngawang Norbu (Awang Luobo)","m","","CHN","2002",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","2002",""
"Nima Nuru I (Nima Norbu)","m","Sherpa","NEP","2002",""
"Nima Wandeki (Nima Ongdi/Wangdi)","m","Sherpa","NEP","2002",""
"Nuru Wangchu","m","Sherpa","NEP","2002",""
"Ólafsson","m","","ICE","2002",""
"Park","m","","SK","2002",""
"Pasang Dawa I (Pa Dawa, Pando)","m","Sherpa","NEP","2002",""
"Pasang Tarke (Pasang Tagqu)","m","","CHN","2002",""
"Pasang Tenzing I","m","Sherpa","NEP","2002",""
"Pasang Tshering Ii (Ang Tshering)","m","Sherpa","NEP","2002",""
"Peacock","m","","UK","2002",""
"Peeters","m","","USA","2002",""
"Pemba I","m","Sherpa","NEP","2002",""
"Pemba Doma Thaktopa","f","","NEP","2002",""
"Phanden (Phenden)","m","Sherpa","NEP","2002",""
"Ponce De León","m","","MEX","2002",""
"Pritt","m","","UK","2002",""
"Ra","m","","SK","2002",""
"Rodi","m","","CAN","2002",""
"Schaffter","m","","CH","2002",""
"Smith","m","","USA","2002",""
"Stanford","m","","UK","2002",""
"Swarner","m","","USA","2002",""
"Tashi I","m","Sherpa","NEP","2002",""
"Tashi Wangchuk Tenzing","m","","AUS","2002",""
"Um","m","","SK","2002",""
"Vallot","m","","F","2002",""
"Watanabe","f","","JAP","2002",""
"Wellig","m","","CH","2002",""
"Wheeler","m","","USA","2002",""
"Woolums","m","","USA","2002",""
"Bae","m","","SK","2002",""
"Bäumler","f","","GER","2002",""
"Bielefeldt","m","","GER","2002",""
"Bonilla","f","","MEX","2002",""
"Caban","m","","CZE","2002",""
"Carrasco","m","","MEX","2002",""
"Dawa Tshering I","m","Sherpa","NEP","2002",""
"Dijmarescu","m","","USA","2002",""
"Egocheaga","m","","E","2002",""
"Fura Dorje (Phura Dorje)","m","Sherpa","NEP","2002",""
"Hermosillo","m","","MEX","2002",""
"Ishikawa","m","","JAP","2002",""
"Krishna Bahadur Tamang (Jeta)","m","","NEP","2002",""
"Lafitte","m","","F","2002",""
"Larrandaburu","m","","F","2002",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","2002",""
"Miyazaki","m","","JAP","2002",""
"Nawang Tenzing Ii (Nawangle)","m","Sherpa","NEP","2002",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","2002",""
"Park","m","","SK","2002",""
"Pasang Norbu I (Pasang Nurbu)","m","Sherpa","NEP","2002",""
"Peña","f","","MEX","2002",""
"Perler","m","","CH","2002",""
"Phurba Tashi","m","Sherpa","NEP","2002",""
"Salazar","m","","MEX","2002",""
"Thilen","m","Sherpa","NEP","2002",""
"Tshering Dorje Ii (Chhiring Dorje)","m","Sherpa","NEP","2002",""
"Wang","m","","CHN","2002",""
"Yamada","m","","JAP","2002",""
"Ermachek","m","","RUS","2002",""
"Karma Rita","m","Sherpa","NEP","2002",""
"Kirievski","m","","RUS","2002",""
"Lhakpa Chhiri Ii (Lhakpa Chhiring)","m","Sherpa","NEP","2002",""
"Nagami","m","","JAP","2002",""
"Norton","m","","USA","2002",""
"Povolotski","m","","RUS","2002",""
"Rogozin","m","","RUS","2002",""
"Tul Bahadur Tamang","m","","NEP","2002",""
"Ang Mingma (Mingma)","m","Sherpa","NEP","2002",""
"Curnis","m","","ITA","2002",""
"Moro","m","","ITA","2002",""
"Ang Pasang Iii","m","Sherpa","NEP","2002",""
"Arita","m","Sherpa","NEP","2002",""
"Athans","m","","USA","2002",""
"Benítez","m","","USA","2002",""
"Bishop","m","","USA","2002",""
"Chuldin Nuru (Chuldim)","m","Sherpa","NEP","2002",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","2002",""
"Dawa Iii","m","Sherpa","NEP","2002",""
"Dawa Sona (Da Sonam)","m","Sherpa","NEP","2002",""
"Erőss","m","","HUN","2002",""
"Hillary","m","","NZ","2002",""
"Kami Ii","m","Sherpa","NEP","2002",""
"Kami Rita I (Topke)","m","Sherpa","NEP","2002",""
"Kami Rita Ii","m","Sherpa","NEP","2002",""
"Leroy","m","","USA","2002",""
"Lhakpa Rita I","m","Sherpa","NEP","2002",""
"Magliano","m","","ITA","2002",""
"Mcdonald","m","","USA","2002",""
"Mingma Chhiri I (Mingma Chhiring)","m","Sherpa","NEP","2002",""
"Nima Tashi","m","Sherpa","NEP","2002",""
"Noguchi","m","","JAP","2002",""
"Pemba Rinji I (Pemba Rinzi)","m","Sherpa","NEP","2002",""
"Pemba Tshering I","m","Sherpa","NEP","2002",""
"Peralvo","m","","ECU","2002",""
"Phurba Chhiri (Phurba Tshering)","m","Sherpa","NEP","2002",""
"Phurba Tashi","m","Sherpa","NEP","2002",""
"Prittie","m","","USA","2002",""
"Roberts","m","","NZ","2002",""
"Sato","m","","JAP","2002",""
"Tamura","m","","JAP","2002",""
"Tejas","m","","USA","2002",""
"Thukten Dorje","m","Sherpa","NEP","2002",""
"Tshering Dorje I","m","Sherpa","NEP","2002",""
"Villareal","m","","MEX","2002",""
"Witzig","m","","CH","2002",""
"Yoder","m","","USA","2002",""
"Van Der Meulen","m","","NL","2002",""
"Dawa Tenzing I (Da Tenzing)","m","Sherpa","NEP","2002",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","2002",""
"Phurba Tashi","m","Sherpa","NEP","2002",""
"Siffredi","m","","F","2002",""
"Legate","m","","UK","2002","Fall"
"Miletić","m","","SER","2002","other"
"Siffredi","m","","F","2002","Fall"
"Da Tendi (Da Dendi)","m","Sherpa","NEP","2003",""
"Dawa Nuru Iii (Danuru)","m","Sherpa","NEP","2003",""
"Grenier","m","","F","2003",""
"Okouchi","m","","JAP","2003",""
"Pemba Tenzing I","m","Sherpa","NEP","2003",""
"Pemba Tshering I","m","Sherpa","NEP","2003",""
"Phu Nuru (Phunuru)","m","Sherpa","NEP","2003",""
"Araki","m","","JAP","2003",""
"Booher","m","","USA","2003",""
"Cang La","f","","CHN","2003",""
"Chen","m","","CHN","2003",""
"Chimi (Xiao Qimi)","m","","CHN","2003",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","2003",""
"Kusang Dorjee","m","Sherpa","IND","2003",""
"Liang","f","","CHN","2003",""
"Nadre","m","Sherpa","IND","2003",""
"Ngawang Norbu (Awang Luobo)","m","","CHN","2003",""
"Nima Tsering (Nima Ciren)","m","","CHN","2003",""
"Park","m","","SK","2003",""
"Pasang Gelu I","m","Sherpa","NEP","2003",""
"Pasang Namgyal","m","Sherpa","NEP","2003",""
"Pemba Tenji (Pekka Tenja)","m","Sherpa","NEP","2003",""
"Phinzo Ii (Phinjo)","m","Sherpa","NEP","2003",""
"Phu Dorje Iv (Fu Dorji, Fudorjee)","m","Sherpa","NEP","2003",""
"Phurba Drugar","f","","CHN","2003",""
"Phurbu Dhondup (Big)","m","","CHN","2003",""
"Phurbu Dhondup (Small)","m","","CHN","2003",""
"Roskelley","m","","USA","2003",""
"Roskelley","m","","USA","2003",""
"Tamtin (Thomting, Tamding)","m","Sherpa","NEP","2003",""
"Tashi Tshering (Zhaxi Ciren) 2","m","","CHN","2003",""
"Um","m","","SK","2003",""
"Wangdu I (Big)","m","","CHN","2003",""
"Yasumura","m","","JAP","2003",""
"Al-Refai","m","","KUW","2003",""
"Ang Chhiring I","m","Sherpa","NEP","2003",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2003",""
"Ang Nima","m","Sherpa","NEP","2003",""
"Ang Norbu","m","Sherpa","NEP","2003",""
"Angchuk Chhering","m","","IND","2003",""
"Baker","m","","UK","2003",""
"Berie","m","","GER","2003",""
"Besson","m","","F","2003",""
"Blanc","m","","F","2003",""
"Bogdan","m","","ROM","2003",""
"Budha Magar","m","","NEP","2003",""
"Burch","m","","USA","2003",""
"Casserley","m","","UK","2003",""
"Castillo","m","","E","2003",""
"Chewang Dorje I","m","Sherpa","NEP","2003",""
"Chhiring","m","Sherpa","NEP","2003",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","2003",""
"Clark","m","","USA","2003",""
"Comotto","m","","USA","2003",""
"Da Chhemba (Dachhamba)","m","Sherpa","NEP","2003",""
"Dargonne","m","","UK","2003",""
"Dawa Nuru Ii (Dawa Norbu)","m","Sherpa","NEP","2003",""
"Dorje Sonam Gyalzen","m","Sherpa","NEP","2003",""
"Figliolini","m","","F","2003",""
"Gane","m","","ROM","2003",""
"Gurmin Dorje (Girmi Dorje)","m","Sherpa","NEP","2003",""
"Gyalha","m","","CHN","2003",""
"Hari Bahadur Basnet","m","","NEP","2003",""
"Hirose","m","","JAP","2003",""
"Izumida","m","","JAP","2003",""
"Jangbu Iii","m","Sherpa","NEP","2003",""
"Kami Ii","m","Sherpa","NEP","2003",""
"Kili Pemba (Kilu Pemba)","m","Sherpa","NEP","2003",""
"Ko","m","","SK","2003",""
"Koo","m","","SK","2003",""
"Lachaud","m","","F","2003",""
"Lakpa","f","","NEP","2003",""
"Lhakpa I","m","Sherpa","NEP","2003",""
"Lhakpa Dorje Iii","m","Sherpa","NEP","2003",""
"Lhakpa Nuru Ii","m","Sherpa","NEP","2003",""
"Lhakpa Nuru Iv","m","Sherpa","NEP","2003",""
"Lhakpa Temba","m","Sherpa","NEP","2003",""
"Lhawang Dhondup (Nawang Dorje)","m","","NEP","2003",""
"Liu","m","","CHN","2003",""
"Luo","m","","CHN","2003",""
"Mcdonnell","m","","IRE","2003",""
"Mingkipa","f","","NEP","2003",""
"Mingma Gelu","m","Sherpa","NEP","2003",""
"Mingma Nuru Ii","m","Sherpa","NEP","2003",""
"Mingma Ongel Ii","m","Sherpa","NEP","2003",""
"Mingma Tshering Ii (Mingma Chhiri)","m","Sherpa","NEP","2003",""
"Mingote","m","","E","2003",""
"Miura","m","","JAP","2003",""
"Miura","m","","JAP","2003",""
"Muraguchi","m","","JAP","2003",""
"Murphy","m","","IRE","2003",""
"Nagakubo","m","","JAP","2003",""
"Negi","m","","IND","2003",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","2003",""
"Ngawang Tsering","m","","CHN","2003",""
"Nima Dorje Iii","m","Sherpa","NEP","2003",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","2003",""
"Nima Nurbu","m","Sherpa","NEP","2003",""
"Nima Nuru Ii (Ngima Nuru)","m","Sherpa","NEP","2003",""
"Nima Tashi","m","Sherpa","NEP","2003",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","2003",""
"Overbeck","m","","GER","2003",""
"Pallandre","m","","F","2003",""
"Park","m","","SK","2003",""
"Pasang Dawa I (Pa Dawa, Pando)","m","Sherpa","NEP","2003",""
"Pasang Nuru I (Nawang Lobsang)","m","Sherpa","NEP","2003",""
"Pasang Nuru Ii (Ang Nuru, Ang Nurbu)","m","Sherpa","NEP","2003",""
"Pasang Rinji I","m","Sherpa","NEP","2003",""
