"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Ang Phurba I","m","Sherpa","NEP","1979",""
"Banks","m","","NZ","1979",""
"Fischbach","m","","GER","1979",""
"Genet","m","","USA","1979",""
"Kämpfe","m","","GER","1979",""
"Schmatz (B Ledermann)","f","","GER","1979",""
"Sungdare","m","Sherpa","NEP","1979",""
"Ube","m","","JAP","1980","Avalanche"
"Nawang Kersang","m","Sherpa","NEP","1980","Fall"
"Piana","m","","ITA","1980","Avalanche"
"Cichy","m","","POL","1980",""
"Wielicki","m","","POL","1980",""
"Kato","m","","JAP","1980",""
"Ozaki","m","","JAP","1980",""
"Shigehiro","m","","JAP","1980",""
"Pasang Temba I","m","Sherpa","NEP","1980",""
"Zabaleta","m","","E","1980",""
"Czok","m","","POL","1980",""
"Kukuczka","m","","POL","1980",""
"Messner","m","","ITA","1980",""
"Takenaka","m","","JAP","1981","Fall"
"Kopczynski","m","","USA","1981",""
"Sungdare","m","Sherpa","NEP","1981",""
"Hackett","m","","USA","1981",""
"Pizzo","m","","USA","1981",""
"Young Tenzing (Yong Tenzing)","m","Sherpa","NEP","1981",""
"Hoey","f","","USA","1982","Fall"
"Boardman","m","","UK","1982","other"
"Tasker","m","","UK","1982","other"
"Pasang Sana","m","Sherpa","NEP","1982","Avalanche"
"Ang Chuldin","m","Sherpa","NEP","1982","Avalanche"
"Dawa Dorje (I)","m","Sherpa","NEP","1982","Avalanche"
"Griffiths","m","","CAN","1982","Avalanche"
"Lhakpa Tshering (I)","m","Sherpa","NEP","1982","other"
"Nima Dorje (Ii)","m","Sherpa","NEP","1982","Fall"
"Kato","m","","JAP","1982","Fall"
"Kobayashi","m","","JAP","1982","Fall"
"Balyberdin","m","","RUS","1982",""
"Bershov","m","","UKR","1982",""
"Myslovsky","m","","RUS","1982",""
"Turkevich","m","","UKR","1982",""
"Efimov","m","","RUS","1982",""
"Ivanov","m","","RUS","1982",""
"Khrishchaty","m","","KAZ","1982",""
"Valiev","m","","KAZ","1982",""
"Golodov","m","","KAZ","1982",""
"Khomutov","m","","RUS","1982",""
"Puchkov","m","","RUS","1982",""
"Lhakpa Dorje I","m","Sherpa","NEP","1982",""
"Skreslet","m","","CAN","1982",""
"Sungdare","m","Sherpa","NEP","1982",""
"Lhakpa Tshering I","m","Sherpa","NEP","1982",""
"Morrow","m","","CAN","1982",""
"Pema Dorje I","m","Sherpa","NEP","1982",""
"Kato","m","","JAP","1982",""
"Pasang Temba (I)","m","Sherpa","NEP","1983","Fall"
"Kamuro","m","","JAP","1983","Fall"
"Yoshino","m","","JAP","1983","Fall"
"Ang Rita","m","Sherpa","NEP","1983",""
"Breashears","m","","USA","1983",""
"Jamieson","m","","USA","1983",""
"Nielson","m","","USA","1983",""
"Roach","m","","USA","1983",""
"Lhakpa Dorje Ii","m","Sherpa","NEP","1983",""
"Neptune","m","","USA","1983",""
"States","m","","USA","1983",""
"Buhler","m","","USA","1983",""
"Endo","m","","JAP","1983",""
"Kamuro","m","","JAP","1983",""
"Kawamura","m","","JAP","1983",""
"Momb","m","","USA","1983",""
"Reichardt","m","","USA","1983",""
"Suzuki","m","","JAP","1983",""
"Yoshino","m","","JAP","1983",""
"Cassell","m","","USA","1983",""
"Lowe","m","","USA","1983",""
"Reid","m","","USA","1983",""
"Murakami","m","","JAP","1983",""
"Nawang Yonden","m","Sherpa","NEP","1983",""
"Ozaki","m","","JAP","1983",""
"Yamada","m","","JAP","1983",""
"Ang Rinji","m","Sherpa","NEP","1984","Avalanche"
"Swierzy","m","","UK","1984","Avalanche"
"Prodanov","m","","BUL","1984","Exposure"
"Nottle","m","","AUS","1984","Fall"
"From","m","","AUS","1984","Fall"
"Psotka","m","","SLK","1984","Fall"
"Ang Dorje I","m","Sherpa","NEP","1984","Fall"
"Thapa","m","","NEP","1984","Fall"
"Prodanov","m","","BUL","1984",""
"Savov","m","","BUL","1984",""
"Valchev","m","","BUL","1984",""
"Doskov","m","","BUL","1984",""
"Petkov","m","","BUL","1984",""
"Phu Dorje Ii","m","Sherpa","IND","1984",""
"Ang Dorje I","m","Sherpa","NEP","1984",""
"Dorjee Lhatoo","m","Sherpa","IND","1984",""
"Pal","f","","IND","1984",""
"Sonam Palzor","m","","IND","1984",""
"Macartney-Snape","m","","AUS","1984",""
"Mortimer","m","","AUS","1984",""
"Ang Rita","m","Sherpa","NEP","1984",""
"Demján","m","","SLK","1984",""
"Psotka","m","","SLK","1984",""
"Ershler","m","","USA","1984",""
"Navarro","m","","E","1985","Fall"
"Ishii","m","","JAP","1985","Avalanche"
"Inder Kumar","m","","IND","1985","Fall"
"Pal Singh Negi","m","","IND","1985","Exposure"
"Singh Bakshi","m","","IND","1985","Exposure"
"Bahugana","m","","IND","1985","Exposure"
"Rao","m","","IND","1985","Exposure"
"Ang Lhakpa Dorje","m","Sherpa","NEP","1985",""
"Bonington","m","","UK","1985",""
"Dawa Norbu","m","Sherpa","NEP","1985",""
"Eliassen","m","","NOR","1985",""
"Myrer-Lund","m","","NOR","1985",""
"Pertemba","m","Sherpa","NEP","1985",""
"Aasheim","m","","NOR","1985",""
"Ang Rita","m","Sherpa","NEP","1985",""
"Chowang Rinzi","m","Sherpa","NEP","1985",""
"Høibakk","m","","NOR","1985",""
"Naess","m","","NOR","1985",""
"Nesheim","m","","NOR","1985",""
"Pema Dorje I","m","Sherpa","NEP","1985",""
"Sungdare","m","Sherpa","NEP","1985",""
"Ang Phurba Ii","m","Sherpa","NEP","1985",""
"Bass","m","","USA","1985",""
"Breashears","m","","USA","1985",""
"Ang Karma I","m","Sherpa","NEP","1985",""
"Cadiach","m","","E","1985",""
"Shambu Tamang","m","","NEP","1985",""
"Shrestha","m","","NEP","1985",""
"Sors","m","","E","1985",""
"Vallès","m","","E","1985",""
"Akutsu","m","","JAP","1985",""
"Kimoto","m","","JAP","1985",""
"Nazuka","m","","JAP","1985",""
"Saegusa","m","","JAP","1985",""
"Sato","m","","JAP","1985",""
"Yagihara","m","","JAP","1985",""
"Yamada","m","","JAP","1985",""
"Trujillo","m","","CHL","1986","Avalanche"
"Burkhardt","m","","CH","1986","Avalanche"
"Gyalu","m","Sherpa","NEP","1986","Avalanche"
"Dawa Norbu","m","Sherpa","NEP","1986","Avalanche"
"Congdon","m","","CAN","1986",""
"Wood","f","","CAN","1986",""
"Loretan","m","","CH","1986",""
"Troillet","m","","CH","1986",""
"Tsuttin Dorje","m","Sherpa","NEP","1987","Fall"
"Marshall","m","","CAN","1987","Fall"
"Yokoyama","m","","JAP","1987","Avalanche"
"Mangal Singh Tamang","m","","NEP","1987","Avalanche"
"Ang Rita","m","Sherpa","NEP","1987",""
"Heo","m","","SK","1987",""
"Mizukoshi","m","","JAP","1988","other"
"Parmentier","m","","F","1988","Exposure"
"Shrestha","m","","NEP","1988","Avalanche"
"Lhapka Sonam","m","Sherpa","NEP","1988","Fall"
"Pasang Temba (Ii)","m","Sherpa","NEP","1988","Fall"
"Becĺk","m","","SLK","1988","Fall"
"Božik","m","","SLK","1988","Fall"
"Jaško","m","","SLK","1988","Fall"
"Just","m","","SLK","1988","Fall"
"Ang Lhapka Dorje","m","Sherpa","NEP","1988","other"
"Lhakpa Sona","m","Sherpa","NEP","1988",""
"Li","m","","CHN","1988",""
"Nakamura","m","","JAP","1988",""
"Nakamura","m","","JAP","1988",""
"Saegusa","m","","JAP","1988",""
"Yamamoto","m","","JAP","1988",""
"Ang Lhakpa Nuru","m","Sherpa","NEP","1988",""
"Tsering Dorje I (Cerin Duoji)","m","","CHN","1988",""
"Yamada","m","","JAP","1988",""
"Ang Phurba Ii","m","Sherpa","NEP","1988",""
"Da Cering","m","","CHN","1988",""
"Ringqing Pingcuo","m","","CHN","1988",""
"Padam Bahadur Tamang","m","","NEP","1988",""
"Sungdare","m","Sherpa","NEP","1988",""
"Venables","m","","UK","1988",""
"Bayne","m","","AUS","1988",""
"Cullinan","m","","AUS","1988",""
"Muir","m","","AUS","1988",""
"Ajiwa","m","Sherpa","NEP","1988",""
"Batard","m","","F","1988",""
"Frachon","m","","F","1988",""
"Georges","m","","CH","1988",""
"Metzger","m","","F","1988",""
"Pasang Tshering I (Pasang Tshiring)","m","Sherpa","NEP","1988",""
"Sonam Tshering I","m","Sherpa","NEP","1988",""
"Vionnet-Fuasset","m","","F","1988",""
"Boivin","m","","F","1988",""
"Kim","m","","SK","1988",""
"Pema Dorje I","m","Sherpa","NEP","1988",""
"Um","m","","SK","1988",""
"Allison","f","","USA","1988",""
"Pasang Gyalgen","m","Sherpa","NEP","1988",""
"Chang","m","","SK","1988",""
"Chung","m","","SK","1988",""
"Jang","m","","SK","1988",""
"Dawa Tshering I","m","Sherpa","NEP","1988",""
"Luce","f","","USA","1988",""
"Nima Tashi","m","Sherpa","NEP","1988",""
"Phu Dorje Iii","m","Sherpa","NEP","1988",""
"Tabin","m","","USA","1988",""
"Nam","m","","SK","1988",""
"Koenig","m","","F","1988",""
"Lhakpa Sonam I","m","Sherpa","NEP","1988",""
"Ang Rita","m","Sherpa","NEP","1988",""
"Bohigas","m","","E","1988",""
"Giner","m","","E","1988",""
"López","m","","E","1988",""
"Nima Rita","m","Sherpa","NEP","1988",""
"Bradey","f","","NZ","1988",""
"Just","m","","SLK","1988",""
"Ilijevski","m","","MAC","1989","Fall"
"Phu Dorje Iii","m","Sherpa","NEP","1989","Fall"
"Dąsal","m","","POL","1989","Avalanche"
"Gardzielewski","m","","POL","1989","Avalanche"
"Otręba","m","","POL","1989","Avalanche"
"Heinrich","m","","POL","1989","Avalanche"
"Chrobak","m","","POL","1989","Avalanche"
"Ang Pinjo","m","Sherpa","NEP","1989","Altitude sickness"
"Ajiwa","m","Sherpa","NEP","1989",""
"Božić","m","","CRO","1989",""
"Grošelj","m","","SLO","1989",""
"Ilijevski","m","","MAC","1989",""
"Sonam Tshering I","m","Sherpa","NEP","1989",""
"Ang Danu (Dawa Norbu)","m","Sherpa","NEP","1989",""
"Phu Dorje Iii","m","Sherpa","NEP","1989",""
"Torres","m","","MEX","1989",""
"Ang Lhakpa Nuru","m","Sherpa","NEP","1989",""
"Burgess","m","","UK","1989",""
"Mackenzie","m","","AUS","1989",""
"Sonam Dendu (Sona Dendu)","m","Sherpa","NEP","1989",""
"Chrobak","m","","POL","1989",""
"Marciniak","m","","POL","1989",""
"Carsolio","m","","MEX","1989",""
"Chuldim (Chuldim Dorje)","m","Sherpa","NEP","1989",""
"Mitani","m","","JAP","1989",""
"Ohnishi","m","","JAP","1989",""
"Tchiring Chumbi (Tchiring Thebe)","m","Sherpa","NEP","1989",""
"Yamamoto","m","","JAP","1989",""
"Cho","m","","SK","1989",""
"Chung","m","","SK","1989",""
"Nima Rita","m","Sherpa","NEP","1989",""
"Nuru Jangbu","m","Sherpa","NEP","1989",""
"Gómez-Menor","m","","E","1990","Avalanche"
"Ang Sona","m","Sherpa","NEP","1990","Avalanche"
"Ghising","m","","NEP","1990","Avalanche"
"Ham","m","","SK","1990","Fall"
"Ang Kami Ii","m","Sherpa","NEP","1990",""
"Ang Rita","m","Sherpa","NEP","1990",""
"Pasang Norbu I (Pasang Nurbu)","m","Sherpa","NEP","1990",""
"Top Bahadur Khatri","m","","NEP","1990",""
"Arsentiev","m","","RUS","1990",""
"Daqimi (Da Chimyi)","m","","CHN","1990",""
"Gall","m","","USA","1990",""
"Jiabu (Gyalbu)","m","","CHN","1990",""
"Link","m","","USA","1990",""
"Lunyakov","m","","KAZ","1990",""
"Gorbenko","m","","UKR","1990",""
"Tselishchev","m","","KAZ","1990",""
"Viesturs","m","","USA","1990",""
"Dachung (Daqiong)","m","","CHN","1990",""
"Guisang (Kuisang)","f","","CHN","1990",""
"Luoze (Lodue)","m","","CHN","1990",""
"Rena (Ren Na)","m","","CHN","1990",""
"Wade","m","","USA","1990",""
"Ilinski","m","","KAZ","1990",""
"Ivanova","f","","RUS","1990",""
"Moshnikov","m","","RUS","1990",""
"Tokarev","m","","RUS","1990",""
"Tucker","m","","USA","1990",""
"Wangjia (Wangyal)","m","","CHN","1990",""
"Ang Jangbu Ii","m","Sherpa","NEP","1990",""
"Athans","m","","USA","1990",""
"Browning","m","","USA","1990",""
"Coffield","m","","USA","1990",""
"Dawa Nuru I (Da Nuru)","m","Sherpa","NEP","1990",""
"Manning","m","","USA","1990",""
"Nima Tashi","m","Sherpa","NEP","1990",""
"Porzak","m","","USA","1990",""
"Apa (Appa)","m","Sherpa","NEP","1990",""
"Ball","m","","NZ","1990",""
"Hall","m","","NZ","1990",""
"Hillary","m","","NZ","1990",""
"Van Snick","m","","BEL","1990",""
"Lapkass","m","","USA","1990",""
"Kihlborg","m","","SWE","1990",""
"Reuterswärd","m","","SWE","1990",""
"Macartney-Snape","m","","AUS","1990",""
"Culver","m","","CAN","1990",""
"Lowe","m","","USA","1990",""
"Salino","m","","F","1990",""
"Ang Temba I","m","Sherpa","NEP","1990",""
"Aprin","m","","USA","1990",""
