"ID","Lastname","Gender","Sherpa","Nation","Year","Reason"
"117","Hoshi","m","","JAP","1992","Fall"
"118","Ang Tshering (I)","m","Sherpa","NEP","1993","Fall"
"119","Pasang Lhamu","f","","NEP","1993","Exhaustion"
"120","Sonam Tshering","m","Sherpa","NEP","1993","Fall"
"121","Lobsang Tshering Bhutia","m","","IND","1993","Fall"
"122","Nam","m","","SK","1993","Fall"
"123","An","m","","SK","1993","Fall"
"124","Henize","m","","USA","1993","other"
"125","Miranda","m","","E","1993","Fall"
"126","Prem Thapa","m","","NEP","1994","Altitude sickness"
"127","Shih","m","","TAI","1994","Exhaustion"
"128","Vigani","m","","ITA","1994","Fall"
"129","Rheinberger","m","","AUS","1994","Exhaustion"
"130","Mingma Norbu","m","Sherpa","NEP","1994","Avalanche"
"131","Kami Rita","m","Sherpa","NEP","1995","Fall"
"132","Lhakpa Nuru I","m","Sherpa","NEP","1995","Avalanche"
"133","Zangbu (Ii)","m","Sherpa","NEP","1995","Fall"
"134","Chen","m","","TAI","1996","Fall"
"135","Hansen","m","","USA","1996","Exposure"
"136","Harris","m","","NZ","1996","Fall"
"137","Namba","f","","JAP","1996","Exhaustion"
"138","Fischer","m","","USA","1996","Exposure"
"139","Hall","m","","NZ","1996","Exposure"
"140","Dorje Morup","m","","IND","1996","Exposure"
"141","Tsewang Paljor","m","","IND","1996","Exposure"
"142","Tsewang Smanla","m","","IND","1996","Exposure"
"143","Wlasich","m","","A","1996","Altitude sickness"
"144","Herrod","m","","UK","1996","Fall"
"145","Nawang Dorje","m","Sherpa","NEP","1996","other"
"146","Bouchon","m","","F","1996","Avalanche"
"147","Lobsang Jangbu","m","Sherpa","NEP","1996","Avalanche"
"148","Dawa (I)","m","Sherpa","NEP","1996","Avalanche"
"149","Duff","m","","UK","1997","other"
"150","Nima Rinzi","m","Sherpa","NEP","1997","Fall"
"151","Torochin","m","","RUS","1997","Fall"
"152","Plotnikov","m","","RUS","1997","other"
"153","Shevtchenko","m","","RUS","1997","other"
"154","Mingma Tamang","m","","NEP","1997","Fall"
"155","Kowalzik","m","","GER","1997","other"
"156","Tenzing Nuru","m","Sherpa","NEP","1997","Fall"
"157","Choi","m","","SK","1997","Avalanche"
"158","Arsentiev","m","","RUS","1998","other"
"159","Arsentiev","f","","USA","1998","Exposure"
"160","Jennings","m","","UK","1998","Exhaustion"
"161","Buick","m","","NZ","1998","Exposure"
"162","Kopytko","m","","UKR","1999","Exposure"
"163","Matthews","m","","UK","1999","Fall"
"164","Kudelski","m","","POL","1999","Fall"
"165","Debrouwer","m","","BEL","1999","Fall"
"166","Stoltz","m","","DK","2000","Fall"
"167","Yan","m","","CHN","2000","Exposure"
"168","Babu Chiri","m","Sherpa","NEP","2001","Fall"
"169","Ganner","m","","A","2001","Fall"
"170","Auricht","m","","AUS","2001","Altitude sickness"
"171","Nikiforov","m","","RUS","2001","Altitude sickness"
"172","Gárdos","m","","HUN","2001","Fall"
"173","Legate","m","","UK","2002","Fall"
"174","Miletić","m","","SER","2002","other"
"175","Siffredi","m","","F","2002","Fall"
"176","Saulnier","m","","F","2003","other"
"177","Karma Gyalzen","m","Sherpa","NEP","2003","Altitude sickness"
"178","Liszewski","m","","POL","2003","Fall"
"179","Bhim Bahadur Gurung","m","","NEP","2003","Fall"
"180","Antezana","m","","USA","2004","Exhaustion"
"181","Park","m","","SK","2004","Exposure"
"182","Jang","m","","SK","2004","Exposure"
"183","Baek","m","","SK","2004","Exhaustion"
"184","Ohta","f","","JAP","2004","Fall"
"185","Hristov","m","","BUL","2004","Exhaustion"
"186","Maslarova","f","","BUL","2004","other"
"187","Egan","m","","CAN","2005","other"
"188","O'brien","m","","USA","2005","Fall"
"189","Litheneker","m","","SLO","2005","Fall"
"190","Chaitanya","m","","IND","2005","Fall"
"191","Kramer","m","","GER","2005","other"
"192","Milne","m","","UK","2005","other"
"193","Thapa Magar","m","","NEP","2006","Altitude sickness"
"194","Tenzing Phinzo","m","Sherpa","NEP","2006","Avalanche"
"195","Lhakpa Tshering Iii","m","Sherpa","NEP","2006","Avalanche"
"196","Dawa Temba","m","Sherpa","NEP","2006","Avalanche"
"197","Krishan","m","","IND","2006","Fall"
"198","Sharp","m","","UK","2006","Exhaustion"
"199","Olsson","m","","S","2006","Fall"
"200","Letrange","m","","F","2006","Exhaustion"
"201","Negrete","m","","BRA","2006","Exposure"
"202","Plyushkin","m","","RUS","2006","Altitude sickness"
"203","Weber","m","","GER","2006","Altitude sickness"
"204","Dawa (Ii)","m","Sherpa","NEP","2007","Fall"
"205","Ishii","m","","JAP","2007","Altitude sickness"
"206","Mochizuki","m","","JAP","2007","other"
"207","Oh","m","","SK","2007","Avalanche"
"208","Lee","m","","SK","2007","Avalanche"
"209","Kozák","m","","CZE","2007","Altitude sickness"
"210","Maurizio","m","","ITA","2007","other"
"211","Goltz","m","","CH","2008","Exhaustion"
"212","Lhakpa Nuru X","m","Sherpa","NEP","2009","Avalanche"
"213","Kazi Lama","m","Sherpa","NEP","2009","other"
"214","Chrzaszcz","m","","CZE","2009","other"
"215","Wu","m","","CHN","2009","Altitude sickness"
"216","Ziebarth","m","","GER","2009","Altitude sickness"
"217","Várkonyi","m","","HUN","2010","Avalanche"
"218","Ogasawara","m","","JAP","2010","Exhaustion"
"219","Kinloch","m","","UK","2010","Exhaustion"
