"Lastname","Nation","Sherpa","Gender","Y"
"Dawa Jangbu I (Da Jangbu I)","NEP","Sherpa","m","2000"
"Kami Rita Ii","NEP","Sherpa","m","2000"
"Leonard (B Richardson)","USA","","f","2000"
"Lhakpa Tshering Iii (Lhakpa Chhiring)","NEP","Sherpa","m","2000"
"Nima (Ang Nima)","NEP","Sherpa","m","2000"
"Pasang Tharke I","NEP","Sherpa","m","2000"
"Pemba Chhuti (Pemba Chhoti)","NEP","Sherpa","m","2000"
"Pemba Norbu (Pemba Nuru) Iii","NEP","Sherpa","m","2000"
"Pemba Tshering Ii (Pemba Chhiring)","NEP","Sherpa","m","2000"
"Slakey","USA","","m","2000"
"Williams","USA","","m","2000"
"Moro","ITA","","m","2000"
"Urubko","KAZ","","m","2000"
"Allen","UK","","m","2000"
"Cowen","USA","","m","2000"
"Down","CAN","","m","2000"
"Jaćimović","SER","","m","2000"
"Kenny","USA","","m","2000"
"Mingma Nuru Ii","NEP","Sherpa","m","2000"
"Stone","USA","","m","2000"
"González","E","","m","2000"
"Lhakpa Gyalzen Ii","NEP","Sherpa","m","2000"
"Volodin","RUS","","m","2000"
"Kim","SK","","m","2000"
"Kim","SK","","m","2000"
"Cho","SK","","m","2000"
"Hong","SK","","m","2000"
"Kim","SK","","m","2000"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","2000"
"Karničar","SLO","","m","2000"
"Oderlap","SLO","","m","2000"
"Pasang Tenzing I","NEP","Sherpa","m","2000"
"Flis","SLO","","m","2000"
"Golob","SLO","","m","2000"
"Lačen","SLO","","m","2000"
"Dawa Nuru Iii (Danuru)","NEP","Sherpa","m","2001"
"Kami Tshering (Ang Chhiring)","NEP","Sherpa","m","2001"
"La France","USA","","m","2001"
"Lhakpa Nuru Ii","NEP","Sherpa","m","2001"
"Mingma Ongel I (Sonam Gyalzen)","NEP","Sherpa","m","2001"
"Otis","USA","","m","2001"
"Chardiny","F","","m","2001"
"Chhiri (Ang Chiring)","NEP","Sherpa","m","2001"
"Collet (B Apraxine)","F","","f","2001"
"Iman Gurung","NEP","","m","2001"
"Muller","F","","m","2001"
"Pema Chhiring (Pema Chhiri)","NEP","Sherpa","m","2001"
"Tshering Dorje Ii (Chhiring Dorje)","NEP","Sherpa","m","2001"
"Roche","F","","m","2001"
"Roche (B Bernier)","F","","f","2001"
"Roux","CH","","m","2001"
"Trommsdorff","F","","m","2001"
"Foigt","RUS","","m","2001"
"Kozhemyako","RUS","","m","2001"
"Uteshev","RUS","","m","2001"
"Tashi I","NEP","Sherpa","m","2001"
"Tortladze","GEO","","m","2001"
"Barrios","COL","","m","2001"
"González-Rubio","COL","","m","2001"
"Fritsche","A","","m","2001"
"Gatt","A","","m","2001"
"Perlia","LUX","","m","2001"
"Bale","UK","","m","2001"
"Carroll","UK","","m","2001"
"Hunter","UK","","m","2001"
"Mcdermott","UK","","m","2001"
"Stingl","GER","","m","2001"
"Lagunilla","E","","m","2001"
"Ramos","E","","m","2001"
"Rodríguez","E","","m","2001"
"Akinina","RUS","","f","2001"
"Allan","UK","","m","2001"
"Álvarez","E","","m","2001"
"Anciaux","F","","m","2001"
"Ang Pasang Iv","NEP","Sherpa","m","2001"
"Benegas","USA","","m","2001"
"Binsack","CH","","f","2001"
"Bösch","CH","","m","2001"
"Chand Dogra","IND","","m","2001"
"Changba Nurbu (Chongba Nuru)","NEP","Sherpa","m","2001"
"Chessell","AUS","","m","2001"
"Cuq","CHL","","m","2001"
"Cuq","CHL","","f","2001"
"Dawa Ii","NEP","Sherpa","m","2001"
"Dawa Temba Ii (Da Temba)","NEP","Sherpa","m","2001"
"Delgado","VEN","","m","2001"
"Dhasila","IND","","m","2001"
"Dijmarescu","USA","","m","2001"
"Eleuchev","RUS","","m","2001"
"Fasching","A","","m","2001"
"Fındık","TUR","","m","2001"
"Fura Dorje (Phura Dorje)","NEP","Sherpa","m","2001"
"Gatt","A","","m","2001"
"Giaccho Negi","IND","","m","2001"
"Giorgio","USA","","m","2001"
"Goñi","E","","m","2001"
"Ishikawa","JAP","","m","2001"
"Kami I (Kame)","NEP","Sherpa","m","2001"
"Karsang Namgyal/Namgel","NEP","Sherpa","m","2001"
"Karsang Tendup","CHN","","m","2001"
"Krylov","RUS","","m","2001"
"Lakpa","NEP","","f","2001"
"Lapkass","USA","","m","2001"
"Lhakpa Nuru Iii","NEP","Sherpa","m","2001"
"Lhakpa Temba","NEP","Sherpa","m","2001"
"Lhakpa Thundu I","NEP","Sherpa","m","2001"
"Lhakpa Tshering Ii (Lhakpa Chhiring)","NEP","Sherpa","m","2001"
"Lobsang Temba","NEP","Sherpa","m","2001"
"Mackenzie","UK","","m","2001"
"Maclaren","CAN","","m","2001"
"Merelli","ITA","","m","2001"
"Miller","USA","","f","2001"
"Mingma Nuru Iii","NEP","Sherpa","m","2001"
"Mingote","E","","m","2001"
"Mondinelli","ITA","","m","2001"
"Nawang Wangchu (Nawang Ongchu)","NEP","Sherpa","m","2001"
"Negi","IND","","m","2001"
"Nga Temba Ii","NEP","Sherpa","m","2001"
"Nima Dorje Ii (Boka Lama)","NEP","Sherpa","m","2001"
"Nima Gombu (Gombu)","NEP","Sherpa","m","2001"
"Nima Tamang I","NEP","","m","2001"
"Norreslet","DK","","m","2001"
"O'bryan","USA","","m","2001"
"Oiarzabal","E","","m","2001"
"Ongchhu","NEP","Sherpa","m","2001"
"Pasaban","E","","f","2001"
"Pasang Norbu Ii","NEP","Sherpa","m","2001"
"Pasang Tendi I","NEP","Sherpa","m","2001"
"Pasang Tshering Iv","NEP","Sherpa","m","2001"
"Pemba Dorje I","NEP","Sherpa","m","2001"
"Pemba Gyalzen I (Pemba Gyalje)","NEP","Sherpa","m","2001"
"Pemba Rinji I (Pemba Rinzi)","NEP","Sherpa","m","2001"
"Pemba Rinji Ii","NEP","Sherpa","m","2001"
"Phanden (Phenden)","NEP","Sherpa","m","2001"
"Phinzo Norbu (Phinzo)","NEP","Sherpa","m","2001"
"Phurba Tashi","NEP","Sherpa","m","2001"
"Porte","F","","m","2001"
"Prakash","IND","","m","2001"
"Prieto","CHL","","f","2001"
"Reketa","E","","m","2001"
"Reuter","CHL","","m","2001"
"Sampson","CAN","","m","2001"
"Shekhawat","IND","","m","2001"
"Siffredi","F","","m","2001"
"Soria","E","","m","2001"
"Soto","CHL","","f","2001"
"Sparks","USA","","m","2001"
"Streif","GER","","m","2001"
"Temba Tshiri (Temba Chhiri)","NEP","Sherpa","m","2001"
"Thilen","NEP","Sherpa","m","2001"
"Thukten Dorje","NEP","Sherpa","m","2001"
"Til Bikram Budhathoki","NEP","","m","2001"
"Tobia","VEN","","m","2001"
"Tshering Palden (Pande) Bhote","NEP","","m","2001"
"Vallejo","ECU","","m","2001"
"Vallejo","E","","m","2001"
"Viñals","GUA","","m","2001"
"Warner","USA","","m","2001"
"Arbelaez","COL","","m","2001"
"Arita","NEP","Sherpa","m","2001"
"Bodh","IND","","m","2001"
"Dawa Nurbu I (Danuru)","NEP","Sherpa","m","2001"
"Dawa Nuru I (Da Nuru)","NEP","Sherpa","m","2001"
"Dendi I","NEP","Sherpa","m","2001"
"Dorje Iii","NEP","Sherpa","m","2001"
"Dorje Iv","NEP","Sherpa","m","2001"
"Edwards","USA","","m","2001"
"Feagin","USA","","f","2001"
"Henostroza","PER","","m","2001"
"Kelly","CAN","","m","2001"
"Kili (Kile)","NEP","Sherpa","m","2001"
"Lama Jangbu","NEP","Sherpa","m","2001"
"Langlois","CAN","","m","2001"
"Lhakpa Gelu I","NEP","Sherpa","m","2001"
"Lhakpa Rita Ii","NEP","Sherpa","m","2001"
"Mingma Thinduk I","NEP","Sherpa","m","2001"
"Mingma Tshering I (Mingma Tsiri)","NEP","Sherpa","m","2001"
"Mingma Tshering Ii (Mingma Chhiri)","NEP","Sherpa","m","2001"
"Nawang Tenzing I","NEP","Sherpa","m","2001"
"Norbu (Nurbu, Nuru)","NEP","Sherpa","m","2001"
"Ochoa De Olza","E","","m","2001"
"Pasang Gelu I","NEP","Sherpa","m","2001"
"Pasang Kitar (Pasang Kidar)","NEP","Sherpa","m","2001"
"Pasang Rinji I","NEP","Sherpa","m","2001"
"Rodney","CAN","","m","2001"
"Ruiz","COL","","m","2001"
"Tenzing I (Tenzen, Tenzi)","NEP","Sherpa","m","2001"
"Tshering Dorje I","NEP","Sherpa","m","2001"
"Verdeguer","E","","m","2001"
"Alexander","USA","","m","2001"
"Ang Kami Iii","NEP","Sherpa","m","2001"
"Ang Pasang Iii","NEP","Sherpa","m","2001"
"Ang Sonam (Pasang Sona)","NEP","Sherpa","m","2001"
"Benítez","USA","","m","2001"
"Brown","USA","","m","2001"
"Bull","USA","","m","2001"
"Bull","USA","","m","2001"
"Chuldin Nuru (Chuldim)","NEP","Sherpa","m","2001"
"Chuwang Nima (Chhewang Nima)","NEP","Sherpa","m","2001"
"Evans","USA","","m","2001"
"Johnck","USA","","m","2001"
"Laursen","AUS","","m","2001"
"Lhakpa Tshering Iii (Lhakpa Chhiring)","NEP","Sherpa","m","2001"
"Lhakpa Tshering Iv (Lhakpa Tshiri)","NEP","Sherpa","m","2001"
"Mace","USA","","m","2001"
"Morris","USA","","m","2001"
"Nima Nuru Ii (Ngima Nuru)","NEP","Sherpa","m","2001"
"O'donnell","USA","","m","2001"
"Pasang Yila","NEP","Sherpa","m","2001"
"Pemba Chhoti I","NEP","Sherpa","m","2001"
"Phu Tashi I","NEP","Sherpa","m","2001"
"Phurba Ridar Bhote","NEP","","m","2001"
"Waechter","USA","","m","2001"
"Weihenmayer","USA","","m","2001"
"Wilson","USA","","m","2001"
"Bochkov","RUS","","m","2001"
"Popov","RUS","","m","2001"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","2002"
"Ang Pasang V","NEP","Sherpa","m","2002"
"Ang Phurba Iv (Phurba)","NEP","Sherpa","m","2002"
"Ang Sonam (Pasang Sona)","NEP","Sherpa","m","2002"
"Apa (Appa)","NEP","Sherpa","m","2002"
"Arvis","F","","m","2002"
"Benegas","USA","","m","2002"
"Bird","USA","","m","2002"
"Bolotov","RUS","","m","2002"
"Borisov","RUS","","m","2002"
"Bumann","CH","","m","2002"
"Chassot","CH","","m","2002"
"Chewang Dorje I","NEP","Sherpa","m","2002"
"Crouse","USA","","m","2002"
"Dawa Nuru Ii (Dawa Norbu)","NEP","Sherpa","m","2002"
"Dawa Nuru Iii (Danuru)","NEP","Sherpa","m","2002"
"Dibona","ITA","","m","2002"
"Dorje Lama","NEP","Sherpa","m","2002"
"Ershler","USA","","m","2002"
"Ershler","USA","","f","2002"
"Fowler","USA","","m","2002"
"Geier","AUS","","m","2002"
"Gurmin Dorje (Girmi Dorje)","NEP","Sherpa","m","2002"
"Hiddleston","NZ","","m","2002"
"Kami I (Kame)","NEP","Sherpa","m","2002"
"Khalatian","ARM","","m","2002"
"Kobler","CH","","m","2002"
"Lama Jangbu","NEP","Sherpa","m","2002"
"Lambert","CH","","m","2002"
"Lee","SK","","m","2002"
"Lhakpa Chhiri I (Sonam)","NEP","Sherpa","m","2002"
"Lhakpa Dorje Iv","NEP","Sherpa","m","2002"
"Lhakpa Gelu I","NEP","Sherpa","m","2002"
"Lhakpa Tshering Iii (Lhakpa Chhiring)","NEP","Sherpa","m","2002"
"Mérat","CH","","f","2002"
"Miller","USA","","f","2002"
"Mingma Chhiri Ii","NEP","Sherpa","m","2002"
"Mingma Ongel I (Sonam Gyalzen)","NEP","Sherpa","m","2002"
"Mingma Tshering Ii (Mingma Chhiri)","NEP","Sherpa","m","2002"
"Mingma Tshering Iii (Mingma Chhiring)","NEP","Sherpa","m","2002"
"Morris","USA","","m","2002"
"Mothersdale","UK","","m","2002"
"Muraguchi","JAP","","m","2002"
"Nang Chombi (Nang Chhemi)","NEP","Sherpa","m","2002"
"Nawang Thile (Pemba Dorje)","NEP","Sherpa","m","2002"
"Ngawang Norbu (Awang Luobo)","CHN","","m","2002"
"Nima Gombu (Gombu)","NEP","Sherpa","m","2002"
"Nima Nuru I (Nima Norbu)","NEP","Sherpa","m","2002"
"Nima Wandeki (Nima Ongdi/Wangdi)","NEP","Sherpa","m","2002"
"Nuru Wangchu","NEP","Sherpa","m","2002"
"Ólafsson","ICE","","m","2002"
"Park","SK","","m","2002"
"Pasang Dawa I (Pa Dawa, Pando)","NEP","Sherpa","m","2002"
"Pasang Tarke (Pasang Tagqu)","CHN","","m","2002"
"Pasang Tenzing I","NEP","Sherpa","m","2002"
"Pasang Tshering Ii (Ang Tshering)","NEP","Sherpa","m","2002"
"Peacock","UK","","m","2002"
"Peeters","USA","","m","2002"
"Pemba I","NEP","Sherpa","m","2002"
"Pemba Doma Thaktopa","NEP","","f","2002"
"Phanden (Phenden)","NEP","Sherpa","m","2002"
"Ponce De León","MEX","","m","2002"
"Pritt","UK","","m","2002"
"Ra","SK","","m","2002"
"Rodi","CAN","","m","2002"
"Schaffter","CH","","m","2002"
"Smith","USA","","m","2002"
"Stanford","UK","","m","2002"
"Swarner","USA","","m","2002"
"Tashi I","NEP","Sherpa","m","2002"
"Tashi Wangchuk Tenzing","AUS","","m","2002"
"Um","SK","","m","2002"
"Vallot","F","","m","2002"
"Watanabe","JAP","","f","2002"
"Wellig","CH","","m","2002"
"Wheeler","USA","","m","2002"
"Woolums","USA","","m","2002"
"Bae","SK","","m","2002"
"Bäumler","GER","","f","2002"
"Bielefeldt","GER","","m","2002"
"Bonilla","MEX","","f","2002"
"Caban","CZE","","m","2002"
"Carrasco","MEX","","m","2002"
"Dawa Tshering I","NEP","Sherpa","m","2002"
"Dijmarescu","USA","","m","2002"
"Egocheaga","E","","m","2002"
"Fura Dorje (Phura Dorje)","NEP","Sherpa","m","2002"
"Hermosillo","MEX","","m","2002"
"Ishikawa","JAP","","m","2002"
"Krishna Bahadur Tamang (Jeta)","NEP","","m","2002"
"Lafitte","F","","m","2002"
"Larrandaburu","F","","m","2002"
"Mingma Tshering I (Mingma Tsiri)","NEP","Sherpa","m","2002"
"Miyazaki","JAP","","m","2002"
"Nawang Tenzing Ii (Nawangle)","NEP","Sherpa","m","2002"
"Nima Dorje I (Dorje)","NEP","Sherpa","m","2002"
"Park","SK","","m","2002"
"Pasang Norbu I (Pasang Nurbu)","NEP","Sherpa","m","2002"
"Peña","MEX","","f","2002"
"Perler","CH","","m","2002"
"Phurba Tashi","NEP","Sherpa","m","2002"
"Salazar","MEX","","m","2002"
"Thilen","NEP","Sherpa","m","2002"
"Tshering Dorje Ii (Chhiring Dorje)","NEP","Sherpa","m","2002"
"Wang","CHN","","m","2002"
"Yamada","JAP","","m","2002"
"Ermachek","RUS","","m","2002"
"Karma Rita","NEP","Sherpa","m","2002"
"Kirievski","RUS","","m","2002"
"Lhakpa Chhiri Ii (Lhakpa Chhiring)","NEP","Sherpa","m","2002"
"Nagami","JAP","","m","2002"
"Norton","USA","","m","2002"
"Povolotski","RUS","","m","2002"
"Rogozin","RUS","","m","2002"
"Tul Bahadur Tamang","NEP","","m","2002"
"Ang Mingma (Mingma)","NEP","Sherpa","m","2002"
"Curnis","ITA","","m","2002"
"Moro","ITA","","m","2002"
"Ang Pasang Iii","NEP","Sherpa","m","2002"
"Arita","NEP","Sherpa","m","2002"
"Athans","USA","","m","2002"
"Benítez","USA","","m","2002"
"Bishop","USA","","m","2002"
"Chuldin Nuru (Chuldim)","NEP","Sherpa","m","2002"
"Chuwang Nima (Chhewang Nima)","NEP","Sherpa","m","2002"
"Dawa Iii","NEP","Sherpa","m","2002"
"Dawa Sona (Da Sonam)","NEP","Sherpa","m","2002"
"Erőss","HUN","","m","2002"
"Hillary","NZ","","m","2002"
"Kami Ii","NEP","Sherpa","m","2002"
"Kami Rita I (Topke)","NEP","Sherpa","m","2002"
"Kami Rita Ii","NEP","Sherpa","m","2002"
"Leroy","USA","","m","2002"
"Lhakpa Rita I","NEP","Sherpa","m","2002"
"Magliano","ITA","","m","2002"
"Mcdonald","USA","","m","2002"
"Mingma Chhiri I (Mingma Chhiring)","NEP","Sherpa","m","2002"
"Nima Tashi","NEP","Sherpa","m","2002"
"Noguchi","JAP","","m","2002"
"Pemba Rinji I (Pemba Rinzi)","NEP","Sherpa","m","2002"
"Pemba Tshering I","NEP","Sherpa","m","2002"
"Peralvo","ECU","","m","2002"
"Phurba Chhiri (Phurba Tshering)","NEP","Sherpa","m","2002"
"Phurba Tashi","NEP","Sherpa","m","2002"
"Prittie","USA","","m","2002"
"Roberts","NZ","","m","2002"
"Sato","JAP","","m","2002"
"Tamura","JAP","","m","2002"
"Tejas","USA","","m","2002"
"Thukten Dorje","NEP","Sherpa","m","2002"
"Tshering Dorje I","NEP","Sherpa","m","2002"
"Villareal","MEX","","m","2002"
"Witzig","CH","","m","2002"
"Yoder","USA","","m","2002"
"Van Der Meulen","NL","","m","2002"
"Dawa Tenzing I (Da Tenzing)","NEP","Sherpa","m","2002"
"Panuru (Pasang Nuru, Pa Nuru)","NEP","Sherpa","m","2002"
"Phurba Tashi","NEP","Sherpa","m","2002"
"Siffredi","F","","m","2002"
"Da Tendi (Da Dendi)","NEP","Sherpa","m","2003"
"Dawa Nuru Iii (Danuru)","NEP","Sherpa","m","2003"
"Grenier","F","","m","2003"
"Okouchi","JAP","","m","2003"
"Pemba Tenzing I","NEP","Sherpa","m","2003"
"Pemba Tshering I","NEP","Sherpa","m","2003"
"Phu Nuru (Phunuru)","NEP","Sherpa","m","2003"
"Araki","JAP","","m","2003"
"Booher","USA","","m","2003"
"Cang La","CHN","","f","2003"
"Chen","CHN","","m","2003"
"Chimi (Xiao Qimi)","CHN","","m","2003"
"Dawa Tshering Iii (Dawa Chhiri)","NEP","Sherpa","m","2003"
"Kusang Dorjee","IND","Sherpa","m","2003"
"Liang","CHN","","f","2003"
"Nadre","IND","Sherpa","m","2003"
"Ngawang Norbu (Awang Luobo)","CHN","","m","2003"
"Nima Tsering (Nima Ciren)","CHN","","m","2003"
"Park","SK","","m","2003"
"Pasang Gelu I","NEP","Sherpa","m","2003"
"Pasang Namgyal","NEP","Sherpa","m","2003"
"Pemba Tenji (Pekka Tenja)","NEP","Sherpa","m","2003"
"Phinzo Ii (Phinjo)","NEP","Sherpa","m","2003"
"Phu Dorje Iv (Fu Dorji, Fudorjee)","NEP","Sherpa","m","2003"
"Phurba Drugar","CHN","","f","2003"
"Phurbu Dhondup (Big)","CHN","","m","2003"
"Phurbu Dhondup (Small)","CHN","","m","2003"
"Roskelley","USA","","m","2003"
"Roskelley","USA","","m","2003"
"Tamtin (Thomting, Tamding)","NEP","Sherpa","m","2003"
"Tashi Tshering (Zhaxi Ciren) 2","CHN","","m","2003"
"Um","SK","","m","2003"
"Wangdu I (Big)","CHN","","m","2003"
"Yasumura","JAP","","m","2003"
"Al-Refai","KUW","","m","2003"
"Ang Chhiring I","NEP","Sherpa","m","2003"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","2003"
"Ang Nima","NEP","Sherpa","m","2003"
"Ang Norbu","NEP","Sherpa","m","2003"
"Angchuk Chhering","IND","","m","2003"
"Baker","UK","","m","2003"
"Berie","GER","","m","2003"
"Besson","F","","m","2003"
"Blanc","F","","m","2003"
"Bogdan","ROM","","m","2003"
"Budha Magar","NEP","","m","2003"
"Burch","USA","","m","2003"
"Casserley","UK","","m","2003"
"Castillo","E","","m","2003"
"Chewang Dorje I","NEP","Sherpa","m","2003"
"Chhiring","NEP","Sherpa","m","2003"
"Chuwang Nima (Chhewang Nima)","NEP","Sherpa","m","2003"
"Clark","USA","","m","2003"
"Comotto","USA","","m","2003"
"Da Chhemba (Dachhamba)","NEP","Sherpa","m","2003"
"Dargonne","UK","","m","2003"
"Dawa Nuru Ii (Dawa Norbu)","NEP","Sherpa","m","2003"
"Dorje Sonam Gyalzen","NEP","Sherpa","m","2003"
"Figliolini","F","","m","2003"
"Gane","ROM","","m","2003"
"Gurmin Dorje (Girmi Dorje)","NEP","Sherpa","m","2003"
"Gyalha","CHN","","m","2003"
"Hari Bahadur Basnet","NEP","","m","2003"
"Hirose","JAP","","m","2003"
"Izumida","JAP","","m","2003"
"Jangbu Iii","NEP","Sherpa","m","2003"
"Kami Ii","NEP","Sherpa","m","2003"
"Kili Pemba (Kilu Pemba)","NEP","Sherpa","m","2003"
"Ko","SK","","m","2003"
"Koo","SK","","m","2003"
"Lachaud","F","","m","2003"
"Lakpa","NEP","","f","2003"
"Lhakpa I","NEP","Sherpa","m","2003"
"Lhakpa Dorje Iii","NEP","Sherpa","m","2003"
"Lhakpa Nuru Ii","NEP","Sherpa","m","2003"
"Lhakpa Nuru Iv","NEP","Sherpa","m","2003"
"Lhakpa Temba","NEP","Sherpa","m","2003"
"Lhawang Dhondup (Nawang Dorje)","NEP","","m","2003"
"Liu","CHN","","m","2003"
"Luo","CHN","","m","2003"
"Mcdonnell","IRE","","m","2003"
"Mingkipa","NEP","","f","2003"
"Mingma Gelu","NEP","Sherpa","m","2003"
"Mingma Nuru Ii","NEP","Sherpa","m","2003"
"Mingma Ongel Ii","NEP","Sherpa","m","2003"
"Mingma Tshering Ii (Mingma Chhiri)","NEP","Sherpa","m","2003"
"Mingote","E","","m","2003"
"Miura","JAP","","m","2003"
"Miura","JAP","","m","2003"
"Muraguchi","JAP","","m","2003"
"Murphy","IRE","","m","2003"
"Nagakubo","JAP","","m","2003"
"Negi","IND","","m","2003"
"Nga Temba I (Ngatemba)","NEP","Sherpa","m","2003"
"Ngawang Tsering","CHN","","m","2003"
"Nima Dorje Iii","NEP","Sherpa","m","2003"
"Nima Gombu (Gombu)","NEP","Sherpa","m","2003"
"Nima Nurbu","NEP","Sherpa","m","2003"
"Nima Nuru Ii (Ngima Nuru)","NEP","Sherpa","m","2003"
"Nima Tashi","NEP","Sherpa","m","2003"
"Norbu (Nurbu, Nuru)","NEP","Sherpa","m","2003"
"Overbeck","GER","","m","2003"
"Pallandre","F","","m","2003"
"Park","SK","","m","2003"
"Pasang Dawa I (Pa Dawa, Pando)","NEP","Sherpa","m","2003"
"Pasang Nuru I (Nawang Lobsang)","NEP","Sherpa","m","2003"
"Pasang Nuru Ii (Ang Nuru, Ang Nurbu)","NEP","Sherpa","m","2003"
"Pasang Rinji I","NEP","Sherpa","m","2003"
"Pasang Tamang","NEP","","m","2003"
"Pasang Temba Ii","NEP","Sherpa","m","2003"
"Pasang Tenzing I","NEP","Sherpa","m","2003"
"Pasang Tharke I","NEP","Sherpa","m","2003"
"Pearce","UK","","m","2003"
"Pemba I","NEP","Sherpa","m","2003"
"Pemba Chhoti I","NEP","Sherpa","m","2003"
"Pemba Dorje I","NEP","Sherpa","m","2003"
"Pemba Gyalzen I (Pemba Gyalje)","NEP","Sherpa","m","2003"
"Pemba Gyalzen Iii (Pemba Geljen)","NEP","Sherpa","m","2003"
"Pemba Nuru I","NEP","Sherpa","m","2003"
"Pemba Nuru Ii (Kaila)","NEP","Sherpa","m","2003"
"Pemba Rinji I (Pemba Rinzi)","NEP","Sherpa","m","2003"
"Pemba Rinji Ii","NEP","Sherpa","m","2003"
"Pemba Tshering Iii (Pemba Chhiri)","NEP","Sherpa","m","2003"
"Phu Tashi I","NEP","Sherpa","m","2003"
"Phur Gyalzen I (Fur Geljen)","NEP","Sherpa","m","2003"
"Phurba Chhiri (Phurba Tshering)","NEP","Sherpa","m","2003"
"Phurba Tashi","NEP","Sherpa","m","2003"
"Rathor","NEP","","m","2003"
"Shekhawat","IND","","m","2003"
"Sikk","EST","","m","2003"
"Takahatake","JAP","","m","2003"
"Tanaka","JAP","","m","2003"
"Tanigawa","JAP","","m","2003"
"Tashi Chhiring","NEP","Sherpa","m","2003"
"Tashi Tshering I","NEP","Sherpa","m","2003"
"Thapa Magar","NEP","","m","2003"
"Thile Nurbu (Thile Nuru)","NEP","Sherpa","m","2003"
"Thilen","NEP","Sherpa","m","2003"
"Totmyanin","RUS","","m","2003"
"Tshering Dorje Ii (Chhiring Dorje)","NEP","Sherpa","m","2003"
"Tulpan","ROM","","m","2003"
"Vann","USA","","m","2003"
"Vilius","LIT","","m","2003"
"Wang","CHN","","m","2003"
"Wittmack","USA","","m","2003"
"Woolums","USA","","m","2003"
"Yamamura","JAP","","m","2003"
"Yoshida","JAP","","m","2003"
"Young","USA","","f","2003"
"Zuberer","CH","","f","2003"
"Bérhault","F","","m","2003"
"Da Nima","NEP","Sherpa","m","2003"
"Dawa Chhiri I (Da Chhiri)","NEP","Sherpa","m","2003"
"Di Centa","ITA","","f","2003"
"Dorje I","NEP","Sherpa","m","2003"
"Guller","USA","","m","2003"
"Lhakpa Nuru V","NEP","Sherpa","m","2003"
"Loizeau","F","","m","2003"
"Mugnier","F","","m","2003"
"Namgyal I (Namgya)","NEP","Sherpa","m","2003"
"Nawang Karsang I","NEP","Sherpa","m","2003"
"Nima Dawa","NEP","Sherpa","m","2003"
"Nima Gyalzen I","NEP","Sherpa","m","2003"
"Pem Tenji (Pemba Tenzi)","NEP","Sherpa","m","2003"
"Pemba Dorje Ii","NEP","Sherpa","m","2003"
"Pemba Dorje Iii (Junje Pemba)","NEP","Sherpa","m","2003"
"Anderson","USA","","m","2003"
"Ang Pasang Iii","NEP","Sherpa","m","2003"
"Apa (Appa)","NEP","Sherpa","m","2003"
"Arita","NEP","Sherpa","m","2003"
"Bhim Bahadur Gurung","NEP","","m","2003"
"Burch","USA","","m","2003"
"Chuldin Nuru (Chuldim)","NEP","Sherpa","m","2003"
"Damai Chhiri","NEP","Sherpa","m","2003"
"Dawa Jangbu I (Da Jangbu I)","NEP","Sherpa","m","2003"
"Dawa Nurbu I (Danuru)","NEP","Sherpa","m","2003"
"Dawa Tenzin (Dawa Tenji)","NEP","Sherpa","m","2003"
"Debendra Bahadur Tamang","NEP","","m","2003"
"Dendi I","NEP","Sherpa","m","2003"
"Garibay","MEX","","m","2003"
"Giorgio","USA","","m","2003"
"Gujabidze","GEO","","m","2003"
"Gyapo","IND","","m","2003"
"Hamal Thakuri","NEP","","m","2003"
"Hamilton","UK","","m","2003"
"Hoffman","USA","","m","2003"
"Jalal","IND","","m","2003"
"Kul Bahadur Ale Magar","NEP","","m","2003"
"Lama Jangbu","NEP","Sherpa","m","2003"
"Lhakpa Gelu I","NEP","Sherpa","m","2003"
"Lhakpa Tshering Iii (Lhakpa Chhiring)","NEP","Sherpa","m","2003"
"Mingma Dorje Iii","NEP","Sherpa","m","2003"
"Mingma Tshering I (Mingma Tsiri)","NEP","Sherpa","m","2003"
"Mrosek","GER","","m","2003"
"Nawang Zimba","NEP","Sherpa","m","2003"
"Negi","IND","","m","2003"
"Nima Tenzi (Nima Tenzing)","NEP","Sherpa","m","2003"
"O'connor","USA","","m","2003"
"Pasang I","NEP","Sherpa","m","2003"
"Pasang Rita I","NEP","Sherpa","m","2003"
"Pasang Tendi I","NEP","Sherpa","m","2003"
"Pasang Tenzing Ii","NEP","Sherpa","m","2003"
"Pema Tshering I","NEP","Sherpa","m","2003"
"Pemba Chhoti Ii","NEP","Sherpa","m","2003"
"Pemba Norbu (Pemba Nuru) Iii","NEP","Sherpa","m","2003"
"Ponce","MEX","","m","2003"
"Rawat","IND","","m","2003"
"Rita Dorje (Ang Rita Dorje)","NEP","Sherpa","m","2003"
"Rossel","CH","","m","2003"
"Shree Bahadur Tamang","NEP","","m","2003"
"Singh","IND","","m","2003"
"Tenjing","NEP","Sherpa","m","2003"
"Thapa","IND","","m","2003"
"Thukten Dorje","NEP","Sherpa","m","2003"
"Thundu","NEP","Sherpa","m","2003"
"Vadasz","USA","","f","2003"
"Vielmo","ITA","","m","2003"
"Vilane","SA","","m","2003"
"Yelagin","RUS","","m","2003"
"Zwahlen","CH","","m","2003"
"Larin","RUS","","m","2003"
