"Lastname","Nation","Sherpa","Gender","Y"
"Ang Dorje I","NEP","Sherpa","m","1984"
"Dorjee Lhatoo","IND","Sherpa","m","1984"
"Pal","IND","","f","1984"
"Sonam Palzor","IND","","m","1984"
"Macartney-Snape","AUS","","m","1984"
"Mortimer","AUS","","m","1984"
"Ang Rita","NEP","Sherpa","m","1984"
"Demján","SLK","","m","1984"
"Psotka","SLK","","m","1984"
"Ershler","USA","","m","1984"
"Ang Lhakpa Dorje","NEP","Sherpa","m","1985"
"Bonington","UK","","m","1985"
"Dawa Norbu","NEP","Sherpa","m","1985"
"Eliassen","NOR","","m","1985"
"Myrer-Lund","NOR","","m","1985"
"Pertemba","NEP","Sherpa","m","1985"
"Aasheim","NOR","","m","1985"
"Ang Rita","NEP","Sherpa","m","1985"
"Chowang Rinzi","NEP","Sherpa","m","1985"
"Høibakk","NOR","","m","1985"
"Naess","NOR","","m","1985"
"Nesheim","NOR","","m","1985"
"Pema Dorje I","NEP","Sherpa","m","1985"
"Sungdare","NEP","Sherpa","m","1985"
"Ang Phurba Ii","NEP","Sherpa","m","1985"
"Bass","USA","","m","1985"
"Breashears","USA","","m","1985"
"Ang Karma I","NEP","Sherpa","m","1985"
"Cadiach","E","","m","1985"
"Shambu Tamang","NEP","","m","1985"
"Shrestha","NEP","","m","1985"
"Sors","E","","m","1985"
"Vallès","E","","m","1985"
"Akutsu","JAP","","m","1985"
"Kimoto","JAP","","m","1985"
"Nazuka","JAP","","m","1985"
"Saegusa","JAP","","m","1985"
"Sato","JAP","","m","1985"
"Yagihara","JAP","","m","1985"
"Yamada","JAP","","m","1985"
"Congdon","CAN","","m","1986"
"Wood","CAN","","f","1986"
"Loretan","CH","","m","1986"
"Troillet","CH","","m","1986"
"Ang Rita","NEP","Sherpa","m","1987"
"Heo","SK","","m","1987"
"Lhakpa Sona","NEP","Sherpa","m","1988"
"Li","CHN","","m","1988"
"Nakamura","JAP","","m","1988"
"Nakamura","JAP","","m","1988"
"Saegusa","JAP","","m","1988"
"Yamamoto","JAP","","m","1988"
"Ang Lhakpa Nuru","NEP","Sherpa","m","1988"
"Tsering Dorje I (Cerin Duoji)","CHN","","m","1988"
"Yamada","JAP","","m","1988"
"Ang Phurba Ii","NEP","Sherpa","m","1988"
"Da Cering","CHN","","m","1988"
"Ringqing Pingcuo","CHN","","m","1988"
"Padam Bahadur Tamang","NEP","","m","1988"
"Sungdare","NEP","Sherpa","m","1988"
"Venables","UK","","m","1988"
"Bayne","AUS","","m","1988"
"Cullinan","AUS","","m","1988"
"Muir","AUS","","m","1988"
"Ajiwa","NEP","Sherpa","m","1988"
"Batard","F","","m","1988"
"Frachon","F","","m","1988"
"Georges","CH","","m","1988"
"Metzger","F","","m","1988"
"Pasang Tshering I (Pasang Tshiring)","NEP","Sherpa","m","1988"
"Sonam Tshering I","NEP","Sherpa","m","1988"
"Vionnet-Fuasset","F","","m","1988"
"Boivin","F","","m","1988"
"Kim","SK","","m","1988"
"Pema Dorje I","NEP","Sherpa","m","1988"
"Um","SK","","m","1988"
"Allison","USA","","f","1988"
"Pasang Gyalgen","NEP","Sherpa","m","1988"
"Chang","SK","","m","1988"
"Chung","SK","","m","1988"
"Jang","SK","","m","1988"
"Dawa Tshering I","NEP","Sherpa","m","1988"
"Luce","USA","","f","1988"
"Nima Tashi","NEP","Sherpa","m","1988"
"Phu Dorje Iii","NEP","Sherpa","m","1988"
"Tabin","USA","","m","1988"
"Nam","SK","","m","1988"
"Koenig","F","","m","1988"
"Lhakpa Sonam I","NEP","Sherpa","m","1988"
"Ang Rita","NEP","Sherpa","m","1988"
"Bohigas","E","","m","1988"
"Giner","E","","m","1988"
"López","E","","m","1988"
"Nima Rita","NEP","Sherpa","m","1988"
"Bradey","NZ","","f","1988"
"Just","SLK","","m","1988"
"Ajiwa","NEP","Sherpa","m","1989"
"Božić","CRO","","m","1989"
"Grošelj","SLO","","m","1989"
"Ilijevski","MAC","","m","1989"
"Sonam Tshering I","NEP","Sherpa","m","1989"
"Ang Danu (Dawa Norbu)","NEP","Sherpa","m","1989"
"Phu Dorje Iii","NEP","Sherpa","m","1989"
"Torres","MEX","","m","1989"
"Ang Lhakpa Nuru","NEP","Sherpa","m","1989"
"Burgess","UK","","m","1989"
"Mackenzie","AUS","","m","1989"
"Sonam Dendu (Sona Dendu)","NEP","Sherpa","m","1989"
"Chrobak","POL","","m","1989"
"Marciniak","POL","","m","1989"
"Carsolio","MEX","","m","1989"
"Chuldim (Chuldim Dorje)","NEP","Sherpa","m","1989"
"Mitani","JAP","","m","1989"
"Ohnishi","JAP","","m","1989"
"Tchiring Chumbi (Tchiring Thebe)","NEP","Sherpa","m","1989"
"Yamamoto","JAP","","m","1989"
"Cho","SK","","m","1989"
"Chung","SK","","m","1989"
"Nima Rita","NEP","Sherpa","m","1989"
"Nuru Jangbu","NEP","Sherpa","m","1989"
"Ang Kami Ii","NEP","Sherpa","m","1990"
"Ang Rita","NEP","Sherpa","m","1990"
"Pasang Norbu I (Pasang Nurbu)","NEP","Sherpa","m","1990"
"Top Bahadur Khatri","NEP","","m","1990"
"Arsentiev","RUS","","m","1990"
"Daqimi (Da Chimyi)","CHN","","m","1990"
"Gall","USA","","m","1990"
"Jiabu (Gyalbu)","CHN","","m","1990"
"Link","USA","","m","1990"
"Lunyakov","KAZ","","m","1990"
"Gorbenko","UKR","","m","1990"
"Tselishchev","KAZ","","m","1990"
"Viesturs","USA","","m","1990"
"Dachung (Daqiong)","CHN","","m","1990"
"Guisang (Kuisang)","CHN","","f","1990"
"Luoze (Lodue)","CHN","","m","1990"
"Rena (Ren Na)","CHN","","m","1990"
"Wade","USA","","m","1990"
"Ilinski","KAZ","","m","1990"
"Ivanova","RUS","","f","1990"
"Moshnikov","RUS","","m","1990"
"Tokarev","RUS","","m","1990"
"Tucker","USA","","m","1990"
"Wangjia (Wangyal)","CHN","","m","1990"
"Ang Jangbu Ii","NEP","Sherpa","m","1990"
"Athans","USA","","m","1990"
"Browning","USA","","m","1990"
"Coffield","USA","","m","1990"
"Dawa Nuru I (Da Nuru)","NEP","Sherpa","m","1990"
"Manning","USA","","m","1990"
"Nima Tashi","NEP","Sherpa","m","1990"
"Porzak","USA","","m","1990"
"Apa (Appa)","NEP","Sherpa","m","1990"
"Ball","NZ","","m","1990"
"Hall","NZ","","m","1990"
"Hillary","NZ","","m","1990"
"Van Snick","BEL","","m","1990"
"Lapkass","USA","","m","1990"
"Kihlborg","SWE","","m","1990"
"Reuterswärd","SWE","","m","1990"
"Macartney-Snape","AUS","","m","1990"
"Culver","CAN","","m","1990"
"Lowe","USA","","m","1990"
"Salino","F","","m","1990"
"Ang Temba I","NEP","Sherpa","m","1990"
"Aprin","USA","","m","1990"
"Batard","F","","m","1990"
